Ecoregion,Euclidean_Similarity,Cosine_Similarity,Average_Probability,Rank_Euclidean_Similarity,Rank_Average_Probability_Euclidean,Rank_Cosine_Similarity,Rank_Average_Probability_Cosine,Rank_Correlation_Euclidean,Rank_Correlation_Cosine
Narmada_Valley_dry_deciduous_forests,0.2063,0.6036,0.5724,24.0,48.0,28.0,48.0,0.626896458366324,0.7000135706201501
South_Western_Ghats_montane_rain_forests,0.4181,0.8884,0.5405,44.0,47.0,44.0,47.0,0.626896458366324,0.7000135706201501
Sundarbans_mangroves,0.2801,0.6744,0.5195,36.0,46.0,34.0,46.0,0.626896458366324,0.7000135706201501
South_Western_Ghats_moist_deciduous_forests,0.5018,0.9444,0.5167,47.0,45.0,47.0,45.0,0.626896458366324,0.7000135706201501
Khathiar_Gir_dry_deciduous_forests,0.1968,0.5724,0.5124,21.0,44.0,26.0,44.0,0.626896458366324,0.7000135706201501
East_Deccan_dry_evergreen_forests,0.3752,0.872,0.509,41.0,43.0,42.0,43.0,0.626896458366324,0.7000135706201501
Orissa_semi_evergreen_forests,0.2984,0.735,0.5019,37.0,42.0,38.0,42.0,0.626896458366324,0.7000135706201501
Malabar_Coast_moist_forests,1.0,1.0,0.501,48.0,41.0,48.0,41.0,0.626896458366324,0.7000135706201501
Sundarbans_freshwater_swamp_forests,0.2537,0.6523,0.4948,33.0,40.0,32.0,40.0,0.626896458366324,0.7000135706201501
Godavari_Krishna_mangroves,0.3347,0.8127,0.4933,40.0,39.0,40.0,39.0,0.626896458366324,0.7000135706201501
Aravalli_west_thorn_scrub_forests,0.1591,0.472,0.4552,13.0,38.0,18.0,38.0,0.626896458366324,0.7000135706201501
Andaman_Islands_rain_forests,0.4667,0.9231,0.4419,46.0,37.0,46.0,37.0,0.626896458366324,0.7000135706201501
Rann_of_Kutch_seasonal_salt_marsh,0.1883,0.585,0.4348,18.0,36.0,27.0,36.0,0.626896458366324,0.7000135706201501
Upper_Gangetic_Plains_moist_deciduous_forests,0.1704,0.5035,0.4129,17.0,35.0,19.5,35.0,0.626896458366324,0.7000135706201501
South_Deccan_Plateau_dry_deciduous_forests,0.3794,0.8517,0.4076,42.0,34.0,41.0,34.0,0.626896458366324,0.7000135706201501
North_Western_Ghats_moist_deciduous_forests,0.4083,0.8852,0.4014,43.0,33.0,43.0,33.0,0.626896458366324,0.7000135706201501
Lower_Gangetic_Plains_moist_deciduous_forests,0.2341,0.6134,0.3938,29.0,32.0,29.0,32.0,0.626896458366324,0.7000135706201501
Thar_desert,0.1506,0.4507,0.3914,12.0,31.0,17.0,31.0,0.626896458366324,0.7000135706201501
Nicobar_Islands_rain_forests,0.2729,0.723,0.3833,35.0,30.0,37.0,30.0,0.626896458366324,0.7000135706201501
Deccan_thorn_scrub_forests,0.3171,0.799,0.3662,39.0,29.0,39.0,29.0,0.626896458366324,0.7000135706201501
North_Western_Ghats_montane_rain_forests,0.439,0.9058,0.3433,45.0,28.0,45.0,28.0,0.626896458366324,0.7000135706201501
Brahmaputra_Valley_semi_evergreen_forests,0.233,0.5545,0.3395,26.5,27.0,24.0,27.0,0.626896458366324,0.7000135706201501
Central_Deccan_Plateau_dry_deciduous_forests,0.2437,0.6975,0.3238,31.0,26.0,35.0,26.0,0.626896458366324,0.7000135706201501
Chhota_Nagpur_dry_deciduous_forests,0.2023,0.5336,0.3095,23.0,25.0,23.0,25.0,0.626896458366324,0.7000135706201501
East_Deccan_moist_deciduous_forests,0.2334,0.6217,0.3052,28.0,24.0,31.0,24.0,0.626896458366324,0.7000135706201501
Northeast_India_Myanmar_pine_forests,0.1899,0.227,0.3029,19.0,23.0,14.0,23.0,0.626896458366324,0.7000135706201501
Baluchistan_xeric_woodlands,0.1326,0.2356,0.28,11.0,22.0,15.0,22.0,0.626896458366324,0.7000135706201501
Mizoram_Manipur_Kachin_rain_forests,0.2533,0.5706,0.2786,32.0,21.0,25.0,21.0,0.626896458366324,0.7000135706201501
North_Deccan_dry_deciduous_forests,0.2286,0.6212,0.2771,25.0,20.0,30.0,20.0,0.626896458366324,0.7000135706201501
Terai_Duar_savanna_and_grasslands,0.1992,0.5222,0.2633,22.0,18.5,21.0,18.5,0.626896458366324,0.7000135706201501
Northern_Triangle_temperate_forests,0.1687,0.1593,0.2633,16.0,18.5,12.0,18.5,0.626896458366324,0.7000135706201501
Chin_Hills_Arakan_Yoma_montane_forests,0.254,0.5035,0.2571,34.0,17.0,19.5,17.0,0.626896458366324,0.7000135706201501
Meghalaya_subtropical_forests,0.233,0.5249,0.2548,26.5,16.0,22.0,16.0,0.626896458366324,0.7000135706201501
Eastern_Himalayan_broadleaf_forests,0.1632,0.1239,0.2433,15.0,15.0,11.0,15.0,0.626896458366324,0.7000135706201501
North_Tibetan_Plateau_Kunlun_Mountains_alpine_desert,0.0726,-0.328,0.2257,1.0,14.0,4.0,14.0,0.626896458366324,0.7000135706201501
Himalayan_subtropical_broadleaf_forests,0.1903,0.3845,0.2105,20.0,13.0,16.0,13.0,0.626896458366324,0.7000135706201501
Himalayan_subtropical_pine_forests,0.1627,0.2168,0.1576,14.0,12.0,13.0,12.0,0.626896458366324,0.7000135706201501
Western_Himalayan_broadleaf_forests,0.1287,-0.072,0.1552,10.0,11.0,10.0,11.0,0.626896458366324,0.7000135706201501
Central_Tibetan_Plateau_alpine_steppe,0.0778,-0.3284,0.1543,3.0,10.0,3.0,10.0,0.626896458366324,0.7000135706201501
Northeast_Himalayan_subalpine_conifer_forests,0.099,-0.2655,0.1467,7.0,9.0,7.0,9.0,0.626896458366324,0.7000135706201501
Karakoram_West_Tibetan_Plateau_alpine_steppe,0.0759,-0.3492,0.141,2.0,8.0,1.0,8.0,0.626896458366324,0.7000135706201501
Eastern_Himalayan_alpine_shrub_and_meadows,0.0963,-0.2968,0.1324,6.0,7.0,6.0,7.0,0.626896458366324,0.7000135706201501
Eastern_Himalayan_subalpine_conifer_forests,0.1201,-0.1763,0.1024,8.0,6.0,8.0,6.0,0.626896458366324,0.7000135706201501
Western_Himalayan_subalpine_conifer_forests,0.1214,-0.077,0.0729,9.0,5.0,9.0,5.0,0.626896458366324,0.7000135706201501
Western_Himalayan_alpine_shrub_and_meadows,0.093,-0.3482,0.07,5.0,4.0,2.0,4.0,0.626896458366324,0.7000135706201501
Northwestern_Himalayan_alpine_shrub_and_meadows,0.0861,-0.3258,0.0638,4.0,3.0,5.0,3.0,0.626896458366324,0.7000135706201501
Indus_River_Delta_Arabian_Sea_mangroves,0.2436,0.6654,0.0,30.0,1.5,33.0,1.5,0.626896458366324,0.7000135706201501
Maldives_Lakshadweep_Chagos_Archipelago_tropical_moist_forests,0.3008,0.7031,0.0,38.0,1.5,36.0,1.5,0.626896458366324,0.7000135706201501
