Ecoregion,Euclidean_Similarity,Cosine_Similarity,Average_Probability
Andaman_Islands_rain_forests,0.4667,0.9231,0.9362
East_Deccan_dry_evergreen_forests,0.3752,0.872,0.93
Nicobar_Islands_rain_forests,0.2729,0.723,0.9029
Orissa_semi_evergreen_forests,0.2984,0.735,0.8933
South_Deccan_Plateau_dry_deciduous_forests,0.3794,0.8517,0.8762
Godavari_Krishna_mangroves,0.3347,0.8127,0.8681
Malabar_Coast_moist_forests,1.0,1.0,0.8681
South_Western_Ghats_moist_deciduous_forests,0.5018,0.9444,0.8224
South_Western_Ghats_montane_rain_forests,0.4181,0.8884,0.7981
Deccan_thorn_scrub_forests,0.3171,0.799,0.7767
Sundarbans_freshwater_swamp_forests,0.2537,0.6523,0.7581
North_Western_Ghats_moist_deciduous_forests,0.4083,0.8852,0.731
North_Deccan_dry_deciduous_forests,0.2286,0.6212,0.729
Central_Deccan_Plateau_dry_deciduous_forests,0.2437,0.6975,0.7186
Sundarbans_mangroves,0.2801,0.6744,0.7133
North_Western_Ghats_montane_rain_forests,0.439,0.9058,0.6938
Lower_Gangetic_Plains_moist_deciduous_forests,0.2341,0.6134,0.6676
East_Deccan_moist_deciduous_forests,0.2334,0.6217,0.6557
Chhota_Nagpur_dry_deciduous_forests,0.2023,0.5336,0.6538
Terai_Duar_savanna_and_grasslands,0.1992,0.5222,0.6162
Narmada_Valley_dry_deciduous_forests,0.2063,0.6036,0.5743
Meghalaya_subtropical_forests,0.233,0.5249,0.5576
Upper_Gangetic_Plains_moist_deciduous_forests,0.1704,0.5035,0.5429
Mizoram_Manipur_Kachin_rain_forests,0.2533,0.5706,0.5162
Himalayan_subtropical_broadleaf_forests,0.1903,0.3845,0.4871
Khathiar_Gir_dry_deciduous_forests,0.1968,0.5724,0.4557
North_Tibetan_Plateau_Kunlun_Mountains_alpine_desert,0.0726,-0.328,0.4452
Aravalli_west_thorn_scrub_forests,0.1591,0.472,0.4448
Rann_of_Kutch_seasonal_salt_marsh,0.1883,0.585,0.4271
Eastern_Himalayan_alpine_shrub_and_meadows,0.0963,-0.2968,0.4195
Brahmaputra_Valley_semi_evergreen_forests,0.233,0.5545,0.4124
Chin_Hills_Arakan_Yoma_montane_forests,0.254,0.5035,0.4095
Central_Tibetan_Plateau_alpine_steppe,0.0778,-0.3284,0.3943
Northeast_India_Myanmar_pine_forests,0.1899,0.227,0.3833
Northeast_Himalayan_subalpine_conifer_forests,0.099,-0.2655,0.3781
Northern_Triangle_temperate_forests,0.1687,0.1593,0.3714
Eastern_Himalayan_subalpine_conifer_forests,0.1201,-0.1763,0.3681
Eastern_Himalayan_broadleaf_forests,0.1632,0.1239,0.361
Karakoram_West_Tibetan_Plateau_alpine_steppe,0.0759,-0.3492,0.3552
Thar_desert,0.1506,0.4507,0.3543
Western_Himalayan_subalpine_conifer_forests,0.1214,-0.077,0.3486
Baluchistan_xeric_woodlands,0.1326,0.2356,0.339
Himalayan_subtropical_pine_forests,0.1627,0.2168,0.3381
Western_Himalayan_alpine_shrub_and_meadows,0.093,-0.3482,0.3267
Northwestern_Himalayan_alpine_shrub_and_meadows,0.0861,-0.3258,0.3138
Western_Himalayan_broadleaf_forests,0.1287,-0.072,0.301
Maldives_Lakshadweep_Chagos_Archipelago_tropical_moist_forests,0.3008,0.7031,0.0
Indus_River_Delta_Arabian_Sea_mangroves,0.2436,0.6654,0.0
